factor_id,near_id,weight,color,level
11,171,2,#0066cc,第2層
11,172,15,#0066cc,第2層
11,173,64,#0066cc,第2層
11,174,306,#0066cc,第2層
11,175,27,#0066cc,第2層
11,176,150,#0066cc,第2層
11,177,134,#0066cc,第2層
11,178,1545,#0066cc,第2層
11,179,3153,#0066cc,第2層
11,180,109,#0066cc,第2層
11,181,10,#0066cc,第2層
11,182,33,#0066cc,第2層
11,183,1203,#0066cc,第2層
11,184,5010,#0066cc,第2層
11,189,14,#0066cc,第2層
11,190,19,#0066cc,第2層
11,191,101,#0066cc,第2層
11,192,369,#0066cc,第2層
11,193,681,#0066cc,第2層
11,194,53,#0066cc,第2層
11,195,445,#0066cc,第2層
11,196,2474,#0066cc,第2層
11,198,317,#0066cc,第2層
11,199,11,#0066cc,第2層
11,200,52,#0066cc,第2層
11,201,21,#0066cc,第2層
11,202,8,#0066cc,第2層
11,204,32,#0066cc,第2層
11,205,3,#0066cc,第2層
11,206,6,#0066cc,第2層
11,207,27,#0066cc,第2層
11,208,40,#0066cc,第2層
11,209,78,#0066cc,第2層
11,211,193,#0066cc,第2層
11,218,2,#0066cc,第2層
11,219,2,#0066cc,第2層
11,221,63,#0066cc,第2層
11,223,4169,#0066cc,第2層
11,224,759,#0066cc,第2層
11,226,4983,#0066cc,第2層
11,233,12,#0066cc,第2層
11,235,5,#0066cc,第2層
11,236,1,#0066cc,第2層
11,238,8,#0066cc,第2層
11,239,6,#0066cc,第2層
11,242,2,#0066cc,第2層
11,244,4,#0066cc,第2層
11,246,69,#0066cc,第2層
11,247,48,#0066cc,第2層
11,248,1686,#0066cc,第2層
11,249,10,#0066cc,第2層
11,250,189,#0066cc,第2層
11,251,12,#0066cc,第2層
11,252,21,#0066cc,第2層
11,253,2722,#0066cc,第2層
11,254,23,#0066cc,第2層
11,264,64,#0066cc,第2層
11,265,13,#0066cc,第2層
11,266,57,#0066cc,第2層
11,272,1,#0066cc,第2層
11,274,1,#0066cc,第2層
11,276,61,#0066cc,第2層
11,277,1,#0066cc,第2層
11,279,262,#0066cc,第2層
11,280,9,#0066cc,第2層
11,281,185,#0066cc,第2層
11,282,15,#0066cc,第2層
11,283,23,#0066cc,第2層
11,284,132,#0066cc,第2層
11,286,49,#0066cc,第2層
11,287,3,#0066cc,第2層
11,288,5,#0066cc,第2層
11,290,74,#0066cc,第2層
11,293,17,#0066cc,第2層
11,294,45,#0066cc,第2層
11,295,953,#0066cc,第2層
11,296,465,#0066cc,第2層
11,297,107,#0066cc,第2層
11,298,107,#0066cc,第2層
11,299,2560,#0066cc,第2層
11,300,4421,#0066cc,第2層
11,301,63,#0066cc,第2層
11,302,172,#0066cc,第2層
11,303,47,#0066cc,第2層
11,304,11,#0066cc,第2層
11,305,111,#0066cc,第2層
11,307,196,#0066cc,第2層
11,308,129,#0066cc,第2層
11,309,106,#0066cc,第2層
11,311,4514,#0066cc,第2層
11,312,26,#0066cc,第2層
11,313,22,#0066cc,第2層
11,314,19,#0066cc,第2層
11,315,24,#0066cc,第2層
11,316,45,#0066cc,第2層
11,317,95,#0066cc,第2層
11,318,41,#0066cc,第2層
11,319,28,#0066cc,第2層
11,320,82,#0066cc,第2層
11,321,11,#0066cc,第2層
11,322,58,#0066cc,第2層
11,323,37,#0066cc,第2層
11,324,39,#0066cc,第2層
11,325,70,#0066cc,第2層
11,326,266,#0066cc,第2層
11,327,56,#0066cc,第2層
11,328,13,#0066cc,第2層
11,329,242,#0066cc,第2層
11,332,46,#0066cc,第2層
11,333,13,#0066cc,第2層
11,334,1291,#0066cc,第2層
11,336,282,#0066cc,第2層
11,337,279,#0066cc,第2層
11,338,19,#0066cc,第2層
11,341,5,#0066cc,第2層
11,342,3,#0066cc,第2層
11,350,20,#0066cc,第2層
11,352,57,#0066cc,第2層
11,353,24,#0066cc,第2層
11,354,521,#0066cc,第2層
11,357,105,#0066cc,第2層
11,358,1,#0066cc,第2層
11,361,3,#0066cc,第2層
11,362,1,#0066cc,第2層
11,363,10,#0066cc,第2層
11,365,35,#0066cc,第2層
11,366,11,#0066cc,第2層
11,367,9,#0066cc,第2層
11,373,8,#0066cc,第2層
11,374,1158,#0066cc,第2層
11,382,7,#0066cc,第2層
11,383,157,#0066cc,第2層
11,384,138,#0066cc,第2層
11,385,77,#0066cc,第2層
2,17,3,#699c4c,第1層
17,83,19,#0066cc,第2層
17,84,367,#0066cc,第2層
17,85,43,#0066cc,第2層
17,86,51,#0066cc,第2層
17,87,7168,#0066cc,第2層
17,89,4,#0066cc,第2層
17,90,1,#0066cc,第2層
17,92,4590,#0066cc,第2層
17,93,8434,#0066cc,第2層
17,94,1003,#0066cc,第2層
17,95,1,#0066cc,第2層
17,96,4,#0066cc,第2層
17,97,31,#0066cc,第2層
17,98,9,#0066cc,第2層
17,99,10994,#0066cc,第2層
17,100,3,#0066cc,第2層
17,101,32,#0066cc,第2層
17,102,121,#0066cc,第2層
17,103,158,#0066cc,第2層
17,105,1,#0066cc,第2層
17,106,21,#0066cc,第2層
17,107,3,#0066cc,第2層
17,108,119,#0066cc,第2層
17,109,15,#0066cc,第2層
17,110,2101,#0066cc,第2層
17,111,48,#0066cc,第2層
17,112,68,#0066cc,第2層
17,114,20,#0066cc,第2層
17,115,102,#0066cc,第2層
17,116,14,#0066cc,第2層
17,117,2,#0066cc,第2層
17,118,1604,#0066cc,第2層
17,119,1557,#0066cc,第2層
17,120,4746,#0066cc,第2層
17,126,21621,#0066cc,第2層
17,127,29,#0066cc,第2層
17,128,43,#0066cc,第2層
17,130,36,#0066cc,第2層
17,131,7,#0066cc,第2層
17,132,17,#0066cc,第2層
17,133,11,#0066cc,第2層
17,134,1496,#0066cc,第2層
17,135,20198,#0066cc,第2層
17,136,16,#0066cc,第2層
17,137,18,#0066cc,第2層
17,138,41,#0066cc,第2層
17,139,21653,#0066cc,第2層
17,145,66,#0066cc,第2層
17,146,7,#0066cc,第2層
17,147,162,#0066cc,第2層
17,149,21493,#0066cc,第2層
17,150,55,#0066cc,第2層
17,151,14,#0066cc,第2層
17,152,50,#0066cc,第2層
17,153,12,#0066cc,第2層
17,154,154,#0066cc,第2層
17,156,21443,#0066cc,第2層
17,157,6171,#0066cc,第2層
17,158,1965,#0066cc,第2層
17,159,941,#0066cc,第2層
17,161,9017,#0066cc,第2層
17,162,12,#0066cc,第2層
17,163,47,#0066cc,第2層
17,164,12654,#0066cc,第2層
17,165,3337,#0066cc,第2層
17,166,10113,#0066cc,第2層
17,167,86,#0066cc,第2層
17,168,570,#0066cc,第2層
17,169,513,#0066cc,第2層
17,170,5464,#0066cc,第2層
17,171,6,#0066cc,第2層
17,172,73,#0066cc,第2層
17,173,276,#0066cc,第2層
17,174,1291,#0066cc,第2層
17,175,103,#0066cc,第2層
17,176,611,#0066cc,第2層
17,177,632,#0066cc,第2層
17,178,6203,#0066cc,第2層
17,179,14180,#0066cc,第2層
17,180,435,#0066cc,第2層
17,181,29,#0066cc,第2層
17,182,152,#0066cc,第2層
17,183,4941,#0066cc,第2層
17,184,21730,#0066cc,第2層
17,189,38,#0066cc,第2層
17,190,124,#0066cc,第2層
17,191,463,#0066cc,第2層
17,192,1978,#0066cc,第2層
17,193,2700,#0066cc,第2層
17,194,295,#0066cc,第2層
17,195,2072,#0066cc,第2層
17,196,11446,#0066cc,第2層
17,198,1151,#0066cc,第2層
17,199,31,#0066cc,第2層
17,200,127,#0066cc,第2層
17,201,66,#0066cc,第2層
17,202,20,#0066cc,第2層
17,204,55,#0066cc,第2層
17,205,12,#0066cc,第2層
17,206,16,#0066cc,第2層
17,207,76,#0066cc,第2層
17,208,74,#0066cc,第2層
17,209,224,#0066cc,第2層
17,211,540,#0066cc,第2層
17,217,1,#0066cc,第2層
17,218,6,#0066cc,第2層
17,219,11,#0066cc,第2層
17,220,4,#0066cc,第2層
17,221,203,#0066cc,第2層
17,223,18406,#0066cc,第2層
17,224,3058,#0066cc,第2層
17,226,21620,#0066cc,第2層
17,232,3,#0066cc,第2層
17,233,56,#0066cc,第2層
17,235,36,#0066cc,第2層
17,236,7,#0066cc,第2層
17,238,51,#0066cc,第2層
17,239,112,#0066cc,第2層
17,240,2,#0066cc,第2層
17,242,24,#0066cc,第2層
17,243,1,#0066cc,第2層
17,244,43,#0066cc,第2層
17,245,5,#0066cc,第2層
17,246,226,#0066cc,第2層
17,247,169,#0066cc,第2層
17,248,6896,#0066cc,第2層
17,249,67,#0066cc,第2層
17,250,1285,#0066cc,第2層
17,251,39,#0066cc,第2層
17,252,71,#0066cc,第2層
17,253,11716,#0066cc,第2層
17,254,194,#0066cc,第2層
17,259,1,#0066cc,第2層
17,260,1,#0066cc,第2層
17,261,2,#0066cc,第2層
17,262,1,#0066cc,第2層
17,264,264,#0066cc,第2層
17,265,44,#0066cc,第2層
17,266,237,#0066cc,第2層
17,267,1,#0066cc,第2層
17,268,3,#0066cc,第2層
17,271,3,#0066cc,第2層
17,272,21,#0066cc,第2層
17,274,1,#0066cc,第2層
17,276,173,#0066cc,第2層
17,277,8,#0066cc,第2層
17,279,1301,#0066cc,第2層
17,280,40,#0066cc,第2層
17,281,848,#0066cc,第2層
17,282,74,#0066cc,第2層
17,283,134,#0066cc,第2層
17,284,577,#0066cc,第2層
17,286,129,#0066cc,第2層
17,287,4,#0066cc,第2層
17,288,25,#0066cc,第2層
17,289,1,#0066cc,第2層
17,290,413,#0066cc,第2層
17,293,76,#0066cc,第2層
17,294,262,#0066cc,第2層
